state_id,mun
Antioquia,MEDELLÍN
Antioquia,ABEJORRAL
Antioquia,ABRIAQUÍ
Antioquia,ALEJANDRÍA
Antioquia,AMAGÁ
Antioquia,AMALFI
Antioquia,ANDES
Antioquia,ANGELÓPOLIS
Antioquia,ANGOSTURA
Antioquia,ANORÍ
Antioquia,SANTAFÉ DE ANTIOQUIA
Antioquia,ANZA
Antioquia,APARTADÓ
Antioquia,ARBOLETES
Antioquia,ARGELIA
Antioquia,ARMENIA
Antioquia,BARBOSA
Antioquia,BELMIRA
Antioquia,BELLO
Antioquia,BETANIA
Antioquia,BETULIA
Antioquia,CIUDAD BOLIVAR
Antioquia,BRICEÑO
Antioquia,BURITICÁ
Antioquia,CÁCERES
Antioquia,CAICEDO
Antioquia,CALDAS
Antioquia,CAMPAMENTO
Antioquia,CAÑASGORDAS
Antioquia,CARACOLÍ
Antioquia,CARAMANTA
Antioquia,CAREPA
Antioquia,EL CARMEN DE VIBORAL
Antioquia,CAROLINA
Antioquia,CAUCASIA
Antioquia,CHIGORODÓ
Antioquia,CISNEROS
Antioquia,COCORNÁ
Antioquia,CONCEPCIÓN
Antioquia,CONCORDIA
Antioquia,COPACABANA
Antioquia,DABEIBA
Antioquia,DON MATÍAS
Antioquia,EBÉJICO
Antioquia,EL BAGRE
Antioquia,ENTRERRIOS
Antioquia,ENVIGADO
Antioquia,FREDONIA
Antioquia,FRONTINO
Antioquia,GIRALDO
Antioquia,GIRARDOTA
Antioquia,GÓMEZ PLATA
Antioquia,GRANADA
Antioquia,GUADALUPE
Antioquia,GUARNE
Antioquia,GUATAPE
Antioquia,HELICONIA
Antioquia,HISPANIA
Antioquia,ITAGUI
Antioquia,ITUANGO
Antioquia,JARDÍN
Antioquia,JERICÓ
Antioquia,LA CEJA
Antioquia,LA ESTRELLA
Antioquia,LA PINTADA
Antioquia,LA UNIÓN
Antioquia,LIBORINA
Antioquia,MACEO
Antioquia,MARINILLA
Antioquia,MONTEBELLO
Antioquia,MURINDÓ
Antioquia,MUTATÁ
Antioquia,NARIÑO
Antioquia,NECOCLÍ
Antioquia,NECHÍ
Antioquia,OLAYA
Antioquia,PEÑOL
Antioquia,PEQUE
Antioquia,PUEBLORRICO
Antioquia,PUERTO BERRIO BERRÍO 
Antioquia,PUERTO NARE 
Antioquia,PUERTO TRIUNFO 
Antioquia,REMEDIOS
Antioquia,RETIRO
Antioquia,RIONEGRO
Antioquia,SABANALARGA
Antioquia,SABANETA
Antioquia,SALGAR
Antioquia,SAN ANDRÉS 
Antioquia,SAN CARLOS 
Antioquia,SAN FRANCISCO 
Antioquia,SAN JERÓNIMO 
Antioquia,SAN JOSÉ DE LA MONTAÑA
Antioquia,SAN JUAN DE URABÁ 
Antioquia,SAN LUIS 
Antioquia,SAN PEDRO 
Antioquia,SAN PEDRO DE URABA 
Antioquia,SAN RAFAEL 
Antioquia,SAN ROQUE 
Antioquia,SAN VICENTE 
Antioquia,SANTA BÁRBARA 
Antioquia,SANTA ROSA DE OSOS 
Antioquia,SANTO DOMINGO 
Antioquia,EL SANTUARIO 
Antioquia,SEGOVIA
Antioquia,SONSON
Antioquia,SOPETRÁN
Antioquia,TÁMESIS
Antioquia,TARAZÁ
Antioquia,TARSO
Antioquia,TITIRIBÍ
Antioquia,TOLEDO
Antioquia,TURBO
Antioquia,URAMITA
Antioquia,URRAO
Antioquia,VALDIVIA
Antioquia,VALPARAÍSO
Antioquia,VEGACHÍ
Antioquia,VENECIA
Antioquia,VIGÍA DEL FUERTE
Antioquia,YALÍ
Antioquia,YARUMAL
Antioquia,YOLOMBÓ
Antioquia,YONDÓ
Antioquia,ZARAGOZA
Atlántico,BARRANQUILLA
