dpto
Amazonas
Antioquia
Arauca
Archipiélago de San Andrés Providencia y Santa Catalina
Atlántico
Bogotá
Bolívar
Boyacá
Caldas
Caquetá
Casanare
Cauca
Cesar
Chocó
Córdoba
Cundinamarca
Guainía
Guaviare
Huila
La Guajira
Magdalena
Meta
Nariño
Norte
Putumayo
Quindio
Risaralda
Santander
Sucre
Tolima
Valle
Vaupés
Vichada
